id,set,index,source_sheet,view,clothed,facing_original,mirrored,H_px,scale,phi,theta,NF,spread,arm_spread,hand_f,hand_b,lift_f,lift_b,together
cE2_04,cE2,4,7cd45a07-image.png,side,True,east,False,591,1.0152,0.75,0.5,F,0.16666666666666666,0.06333333333333331,0.021666666666666654,0.04166666666666666,0.0,0.0,True
cE2_05,cE2,5,7cd45a07-image.png,side,True,east,False,589,1.0187,0.0,0.0,N,0.2729005568214015,0.10666666666666669,0.06666666666666668,0.04000000000000001,0.015,0.0,False
cE2_06,cE2,6,7cd45a07-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.3443439916268983,0.12521666666666686,0.07688333333333353,0.04833333333333334,0.005,0.0,False
cE2_07,cE2,7,7cd45a07-image.png,side,True,east,False,583,1.0292,0.0,0.0,N,0.36273869660783914,0.13333333333333336,0.08000000000000002,0.053333333333333344,0.0,0.0033333333333333335,False
cE2_08,cE2,8,7cd45a07-image.png,side,True,east,False,588,1.0204,0.0,0.0,N,0.3190967788136035,0.1268666666666665,0.07019999999999982,0.05666666666666667,0.0,0.021666666666666667,False
cE2_09,cE2,9,7cd45a07-image.png,side,True,east,False,591,1.0152,0.09450347515671795,0.1890069503134359,N,0.22277849346773745,0.10851419031719534,0.050083472454090144,0.05843071786310519,0.0,0.035058430717863104,False
cE2_10,cE2,10,7cd45a07-image.png,side,True,east,False,596,1.0067,0.25,0.5,N,0.1896838602329451,0.09068219633943428,0.029118136439267875,0.061564059900166404,0.0,0.0,True
cE2_11,cE2,11,7cd45a07-image.png,side,True,east,False,597,1.005,0.3741492716020186,0.7482985432040372,N,0.17786756148080932,0.09666666666666668,0.04166666666666667,0.05500000000000001,0.03833333333333333,0.0,False
cE2_12,cE2,12,7cd45a07-image.png,side,True,east,False,589,1.0187,0.5,0.0,F,0.3151857031831462,0.125,0.07166666666666667,0.053333333333333344,0.021666666666666667,0.0,False
cE2_13,cE2,13,7cd45a07-image.png,side,True,east,False,585,1.0256,0.5,0.0,F,0.34649991305653693,0.14166666666666666,0.08499999999999999,0.05666666666666667,0.015,0.0,False
